Input	Initial	 Has	Number	Avg Time	Avg Time
size	Order	 Dup.	of runs	for usel	for sort
5000	random 	 no	233	0.057795	0.002562	
5000	sorted 	 no	233	0.001176	0.001047	
5000	reverse	 no	233	0.001202	0.001159	
5000	random 	 yes	233	0.029356	0.002017	
5000	sorted 	 yes	233	0.001103	0.001009	
5000	reverse	 yes	233	0.001094	0.001082	
10000	random 	 no	233	0.136575	0.004013	
10000	sorted 	 no	233	0.002124	0.002026	
10000	reverse	 no	233	0.002094	0.002056	
10000	random 	 yes	233	0.137605	0.004017	
10000	sorted 	 yes	233	0.002107	0.002026	
10000	reverse	 yes	233	0.002077	0.002094	
25000	random 	 no	233	1.421270	0.010438	
25000	sorted 	 no	233	0.005644	0.005163	
25000	reverse	 no	233	0.005609	0.005837	
25000	random 	 yes	233	1.430399	0.010395	
25000	sorted 	 yes	233	0.005670	0.005232	
25000	reverse	 yes	233	0.005584	0.005867	
50000	random 	 no	233	7.039004	0.022112	
50000	sorted 	 no	233	0.010948	0.010167	
50000	reverse	 no	233	0.010906	0.011597	
50000	random 	 yes	233	6.901052	0.021502	
50000	sorted 	 yes	233	0.010940	0.010064	
50000	reverse	 yes	233	0.010764	0.011403	
100000	random 	 no	233	30.642017	0.044532	
100000	sorted 	 no	233	0.021176	0.019867	
100000	reverse	 no	233	0.021082	0.023103	
100000	random 	 yes	233	30.565395	0.043742	
100000	sorted 	 yes	233	0.021223	0.019970	
100000	reverse	 yes	233	0.021107	0.022991	
