Input	Initial	 Has	Number	Avg Time	Avg Time	Avg Time
size	Order	 Dup.	of runs	of sortA	of sortB	for sort
5000	random 	 no	10	0.092200	0.005000	0.008400	
5000	sorted 	 no	10	0.090800	0.067800	0.006000	
5000	reverse	 no	10	0.094500	0.067100	0.006000	
10000	random 	 no	10	0.347800	0.008500	0.015000	
10000	sorted 	 no	10	0.285400	0.223200	0.008400	
10000	reverse	 no	10	0.297900	0.210100	0.008500	
15000	random 	 no	10	0.458100	0.007500	0.013800	
15000	sorted 	 no	10	0.624400	0.360500	0.010100	
15000	reverse	 no	10	0.570700	0.383000	0.009700	
20000	random 	 no	10	0.924200	0.011200	0.020600	
20000	sorted 	 no	10	0.964300	0.705800	0.013300	
20000	reverse	 no	10	1.060300	0.721500	0.015500	
25000	random 	 no	10	1.312900	0.012000	0.022300	
25000	sorted 	 no	10	1.359300	1.049200	0.013800	
25000	reverse	 no	10	1.288400	0.947400	0.012300	
30000	random 	 no	10	1.844200	0.015300	0.034000	
30000	sorted 	 no	10	2.041200	1.608800	0.023100	
30000	reverse	 no	10	1.935800	1.290500	0.016800	
35000	random 	 no	10	2.298800	0.015100	0.031500	
35000	sorted 	 no	10	2.577500	1.761400	0.023900	
35000	reverse	 no	10	2.482300	1.702900	0.022000	
40000	random 	 no	10	3.182200	0.018600	0.036000	
40000	sorted 	 no	10	3.051200	2.166900	0.018000	
40000	reverse	 no	10	3.145400	2.241900	0.020700	
45000	random 	 no	10	3.969900	0.022600	0.048100	
45000	sorted 	 no	10	3.822700	2.827700	0.022800	
45000	reverse	 no	10	4.094900	2.849400	0.025700	
50000	random 	 no	10	4.754400	0.021000	0.053800	
50000	sorted 	 no	10	4.755700	3.617300	0.028100	
50000	reverse	 no	10	4.882100	3.431200	0.025500	
55000	random 	 no	10	5.664800	0.023100	0.050500	
55000	sorted 	 no	10	5.588800	4.241700	0.026600	
55000	reverse	 no	10	5.885700	4.164300	0.030700	
60000	random 	 no	10	6.812300	0.027600	0.060400	
60000	sorted 	 no	10	6.795000	4.956200	0.031500	
60000	reverse	 no	10	7.158900	5.181500	0.036400	
65000	random 	 no	10	7.888800	0.029600	0.065300	
65000	sorted 	 no	10	7.818200	5.888500	0.036700	
65000	reverse	 no	10	8.381100	5.933300	0.041000	
70000	random 	 no	10	9.269600	0.031700	0.065500	
70000	sorted 	 no	10	9.336700	6.876800	0.045200	
70000	reverse	 no	10	9.485000	6.780300	0.035100	
75000	random 	 no	10	10.384000	0.034000	0.076900	
75000	sorted 	 no	10	10.431100	7.601700	0.037100	
75000	reverse	 no	10	11.015100	7.694500	0.041800	
80000	random 	 no	10	11.796800	0.041000	0.080800	
80000	sorted 	 no	10	11.762100	8.724200	0.035200	
80000	reverse	 no	10	12.431100	8.805800	0.045200	
85000	random 	 no	10	13.333600	0.038800	0.092900	
85000	sorted 	 no	10	13.343500	9.817700	0.044400	
85000	reverse	 no	10	14.130500	9.738400	0.051100	
90000	random 	 no	10	14.873300	0.044500	0.084900	
90000	sorted 	 no	10	14.938300	11.089600	0.057800	
90000	reverse	 no	10	15.560400	11.056700	0.054200	
95000	random 	 no	10	15.727765	4.581500	0.066778	
95000	sorted 	 no	10	14.496000	14.078400	0.037200	
95000	reverse	 no	10	13.792700	13.351700	0.039000	
100000	random 	 no	10	16.100200	0.037700	0.081000	
100000	sorted 	 no	10	16.077000	15.600300	0.038100	
100000	reverse	 no	10	15.293600	14.805600	0.041300	
