Input	Initial	 Has	Number	Avg Time	Avg Time	Avg Time
size	Order	 Dup.	of runs	of sortA	of sortB	for sort
4000	random 	 no	10	0.032111	0.002000	0.003100	
4000	sorted 	 no	10	0.027500	0.026900	0.002300	
4000	reverse	 no	10	0.026800	0.025500	0.002000	
8000	random 	 no	10	0.106500	0.003600	0.006000	
8000	sorted 	 no	10	0.106200	0.102400	0.003400	
8000	reverse	 no	10	0.100600	0.097100	0.004000	
16000	random 	 no	10	4.161000	0.006300	0.012000	
16000	sorted 	 no	10	0.461222	0.404100	0.006000	
16000	reverse	 no	10	0.496875	0.383800	0.006600	
32000	random 	 no	10	1.663100	0.012200	0.024200	
32000	sorted 	 no	10	1.838556	1.606200	0.012100	
32000	reverse	 no	10	3.933500	1.525600	0.012600	
64000	random 	 no	10	6.612600	0.024500	0.050200	
64000	sorted 	 no	10	7.318222	6.396800	0.024000	
64000	reverse	 no	10	6.977000	6.075900	0.025000	
128000	random 	 no	10	26.341600	0.049400	0.107800	
128000	sorted 	 no	10	26.330100	25.594400	0.050000	
128000	reverse	 no	10	25.071800	24.260300	0.052100	
256000	random 	 no	10	105.318200	0.101900	0.135500	
256000	sorted 	 no	10	105.311700	91.855900	0.076500	
256000	reverse	 no	10	104.606556	87.112700	0.066100	
512000	random 	 no	10	420.875700	0.223000	0.190900	
512000	sorted 	 no	10	422.825000	230.812300	0.090100	
512000	reverse	 no	10	400.441800	219.189100	0.093400	
1024000	random 	 no	10	0.000000	0.000000	0.000000	
